service,num_architectures,degree,pagerank,degree_centrality,betweenness,closeness,eigenvector,centralidad_score,nivel
AppSync,9,4,0.03432784650586574,0.05970149253731344,0.004719640258531406,0.6329411764705883,0.04843292596177319,0.09672671167911917,Especializado
NLB,7,3,0.023854709694623607,0.04477611940298507,0.0023897860991611403,0.7577464788732394,0.011992889060109839,0.096401981225306,Especializado
EBS,7,3,0.0252239009069583,0.04477611940298507,0.0,0.7097625329815305,0.02787850764213113,0.09391922956730647,Especializado
CodeCommit,4,2,0.02503093442083933,0.02985074626865672,0.0,0.7482614742698193,0.0006107465334222958,0.08988972630041125,Especializado
Lex,6,3,0.026594585415426652,0.04477611940298507,0.0,0.6758793969849247,0.019045440326613015,0.08961716122285869,Especializado
SecurityHub,4,2,0.029648476578006594,0.02985074626865672,0.0,0.7202141900937082,0.006988400662025616,0.08942690864924083,Especializado
CodeBuild,4,2,0.02702100430732228,0.02985074626865672,0.0,0.7163781624500667,0.0006642459889329115,0.08730644100270747,Especializado
SystemsManager,5,2,0.02103277259272181,0.02985074626865672,0.0,0.6871008939974458,0.014778687683692789,0.08469941089727923,Especializado
LakeFormation,3,1,0.01757174774898879,0.01492537313432836,0.0,0.7023498694516972,0.007053861028136357,0.0802959337076689,Especializado
StorageGateway,3,1,0.01757174774898879,0.01492537313432836,0.0,0.7023498694516972,0.007053861028136357,0.0802959337076689,Especializado
MediaPackage,3,1,0.01757174774898879,0.01492537313432836,0.0,0.7023498694516972,0.007053861028136357,0.0802959337076689,Especializado
VPCPeering,3,1,0.017578672598959337,0.01492537313432836,0.0,0.6683229813664597,0.004290372618917182,0.07648079909275343,Especializado
ShieldAdvanced,3,1,0.01824142022494481,0.01492537313432836,0.0,0.656898656898657,0.0005418627851475091,0.07497491445870337,Especializado
TransitGateway,5,1,0.0191306435449827,0.01492537313432836,0.0,0.5681098204857445,0.0027753536600707194,0.06669782144466196,Especializado
