source_service,target_service,interaction_count,out_degree_total,prob_transition
UserCompanyInternalPlatform,Lambda,5,15,0.3333
Connect,Firehose,5,85,0.0588
Firehose,Connect,5,148,0.0338
EKS,VPC,5,495,0.0101
ThirdParty,KinesisDataStream,5,862,0.0058
StorageGateway,ThirdParty,5,16,0.3125
CloudFormation,Cognito,5,130,0.0385
SQS,UserCompanyAgent,5,380,0.0132
UserConsumerWeb,OpenSearch,5,388,0.0129
UserCompanyAnalyst,ServiceCatalog,5,116,0.0431
Lambda,ServiceCatalog,5,2075,0.0024
ApiGateway,EventBridge,5,537,0.0093
ThirdParty,Connect,5,862,0.0058
VPCPeering,MongoDBAtlas,5,16,0.3125
EC2,Neptune,5,1266,0.0039
ThirdParty,MediaConvert,5,862,0.0058
Lambda,Transcribe,5,2075,0.0024
CodePipeline,S3,5,41,0.122
UserConsumerAPI,DMS,5,141,0.0355
EC2,CloudFormation,5,1266,0.0039
StorageGateway,DirectConnect,5,16,0.3125
LambdaAtEdge,Route53,5,55,0.0909
VPN,ThirdParty,5,26,0.1923
EKS,CloudHSM,5,495,0.0101
CloudWatch,EKS,5,202,0.0248
EC2,StepFunctions,5,1266,0.0039
SageMaker,StepFunctions,5,251,0.0199
S3,DataPipeline,5,1551,0.0032
DataPipeline,RedShift,5,10,0.5
Athena,ApiGateway,5,207,0.0242
UserCompanyDeveloper,SecurityHub,5,182,0.0275
Firehose,ELB,5,148,0.0338
CloudHSM,EC2,5,10,0.5
EC2,CloudHSM,5,1266,0.0039
UserConsumerEdge,TransferFamily,5,94,0.0532
Connect,Pinpoint,5,85,0.0588
IoTCore,Rekognition,5,81,0.0617
IoTCore,KinesisDataStream,5,81,0.0617
Athena,Fargate,5,207,0.0242
MSK,Fargate,5,68,0.0735
ApiGateway,UserConsumerEdge,5,537,0.0093
EC2,UserConsumerAPI,5,1266,0.0039
EC2,UserCompanyDataStream,5,1266,0.0039
DMS,RDS,5,67,0.0746
Lex,DevTools,5,38,0.1316
Lambda,DevTools,5,2075,0.0024
