service_a,service_b,cooc_frequency,jaccard_similarity
KMS,RDS,3,0.039
EKS,Firehose,3,0.0361
DynamoDB,QuickSight,3,0.0238
IoTCore,RDS,3,0.038
Fargate,Kinesis,3,0.0526
DynamoDB,KinesisAnalytics,3,0.0259
EC2,IoTCore,3,0.0213
KinesisDataStream,S3,3,0.0128
Amplify,S3,3,0.0129
ApiGateway,CodePipeline,3,0.0316
DynamoDB,EventBridge,3,0.0234
CloudWatch,ELB,3,0.0448
SNS,SageMaker,3,0.0366
Route53,SQS,3,0.0361
Lambda,SecurityHub,3,0.0146
Athena,CloudTrail,3,0.0638
DynamoDB,Textract,3,0.0261
ALB,WAF,3,0.0682
Pinpoint,S3,3,0.0129
Athena,SQS,3,0.0283
CloudFormation,CodeBuild,3,0.1579
BeanStalk,SQS,3,0.0441
ELB,SQS,3,0.0312
ALB,SageMaker,3,0.0441
Connect,Lex,3,0.3
CloudWatch,ElastiCache,3,0.0455
ApiGateway,Neptune,3,0.0316
Amplify,ApiGateway,3,0.0326
Neptune,StepFunctions,3,0.0625
MSK,OpenSearch,3,0.0714
EMR,Glue,3,0.0526
DirectConnect,Lambda,3,0.0142
EKS,FSX,3,0.0508
DMS,DynamoDB,3,0.0248
Cognito,RDS,3,0.0357
KMS,SNS,3,0.0556
CodePipeline,S3,3,0.0128
DynamoDB,EMR,3,0.0219
ApiGateway,Comprehend,3,0.0297
CloudFormation,RDS,3,0.0357
Lambda,PrivateLink,3,0.0144
CloudFormation,SQS,3,0.0366
CloudFormation,RedShift,3,0.0682
ShieldAdvanced,WAF,3,0.2
ECS,EMR,3,0.0435
GuardDuty,S3,3,0.0127
Aurora,Fargate,3,0.0526
CloudFront,Fargate,2,0.0323
CloudWatch,WAF,2,0.0392
Fargate,WAF,2,0.0556
Firehose,SNS,2,0.027
CloudTrail,Firehose,2,0.0556
Aurora,VPN,2,0.0488
CloudFront,RedShift,2,0.0294
CloudFront,VPN,2,0.0444
EFS,EKS,2,0.0333
EFS,ElastiCache,2,0.0571
EFS,OpenSearch,2,0.0541
EFS,RedShift,2,0.0606
EKS,VPN,2,0.0333
ElastiCache,RedShift,2,0.0345
OpenSearch,RedShift,2,0.0333
RedShift,Route53,2,0.0435
RedShift,VPN,2,0.0606
VPN,WAF,2,0.1053
CloudWatch,EMR,2,0.0323
ECR,IAM,2,0.0741
Glue,IAM,2,0.0465
ALB,Kinesis,2,0.0299
ECR,VPC,2,0.0769
ECS,VPC,2,0.037
AutoScaling,EC2,2,0.015
AutoScaling,IAM,2,0.1538
IAM,VPC,2,0.1053
Route53,VPC,2,0.0741
CloudFront,SageMaker,2,0.0256
Macie,S3,2,0.0087
AlexaForBusiness,DynamoDB,2,0.0175
AlexaForBusiness,Lambda,2,0.0098
AlexaForBusiness,RDS,2,0.029
AmazonMQ,ECS,2,0.0426
ECS,Route53,2,0.0317
RDS,SES,2,0.0286
S3,SES,2,0.0086
IoTAnalytics,IoTCore,2,0.1538
IoTAnalytics,Lambda,2,0.0098
IoTAnalytics,QuickSight,2,0.1333
IoTCore,Kinesis,2,0.0417
IoTCore,QuickSight,2,0.0769
IoTCore,SageMaker,2,0.04
Athena,Comprehend,2,0.0377
CloudFront,Comprehend,2,0.0385
Cognito,Comprehend,2,0.069
Glue,LambdaAtEdge,2,0.0476
LambdaAtEdge,RDS,2,0.026
ApiGateway,EMR,2,0.0174
DynamoDB,MediaConnect,2,0.0175
Lex,S3,2,0.0085
MediaConnect,S3,2,0.0087
Polly,S3,2,0.0087
Polly,Transcribe,2,0.2222
Transcribe,Translate,2,0.2
Neptune,SageMaker,2,0.0455
AppSync,SNS,2,0.0377
Cognito,SNS,2,0.0323
Glue,LakeFormation,2,0.0571
CloudFormation,FSX,2,0.0909
ALB,LambdaAtEdge,2,0.05
ELB,LambdaAtEdge,2,0.05
SQS,VPC,2,0.0267
SNS,WAF,2,0.0339
Athena,KinesisAnalytics,2,0.0444
CloudFront,KinesisAnalytics,2,0.0455
Firehose,KinesisAnalytics,2,0.0606
CloudWatch,KinesisDataStream,2,0.0476
SageMaker,Textract,2,0.0488
Comprehend,Lex,2,0.1176
Comprehend,SNS,2,0.0351
Lex,OpenSearch,2,0.0541
Lex,SNS,2,0.04
CloudFormation,StepFunctions,2,0.0333
CloudTrail,EventBridge,2,0.087
CloudTrail,IAM,2,0.1176
EventBridge,IAM,2,0.0769
CloudWatch,ECR,2,0.037
Rekognition,SNS,2,0.0364
EC2,EventBridge,2,0.0137
Lambda,SecretsManager,2,0.0098
GuardDuty,SNS,2,0.0385
Aurora,MSK,2,0.0426
MSK,RedShift,2,0.0513
ALB,Athena,2,0.0278
ALB,Glue,2,0.0312
Glue,SNS,2,0.0256
ElastiCache,NLB,2,0.0556
Comprehend,RDS,2,0.025
